Time_to_land;Initial_time;ARP_distance;ARP_azimuth;Heading;Altitude;IAS;GS;Barometric_pressure;Wind_direction;Wind_variability;Wind_speed;Visibility;European_airlines;American_airlines;Latam_airlines;Other_airlines;Day_of_the_week;Mix_index;WTC;RWY
1223;59799;67764.81776;10.86331046;354.9825089;4183.38;254;430;1016;220;0;11;10000;1;0;0;0;6;115.3846154;M;25R
1041;59135;67648.28649;225.5843595;176.8138294;3962.4;299;398;1016;210;0;11;10000;0;0;0;1;6;100;H;25R
634;71794;67791.5848;240.7864885;230.0123288;3055.62;273;446;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
947;59671;67946.18445;226.4705009;183.4291537;2712.72;227;412;1016;220;0;11;10000;1;0;0;0;6;115.3846154;M;25R
670;59989;67943.00901;276.1001907;299.263334;2750.82;278;458;1016;220;0;11;10000;1;0;0;0;6;116.6666667;M;25R
833;73413;67820.47117;93.98366846;89.62551529;5600.7;333;462;1017;230;0;9;10000;1;0;0;0;6;100;M;25R
748;60661;67961.84968;188.99484;172.6719331;3459.48;274;414;1016;220;0;11;10000;1;0;0;0;6;120;M;25R
1037;74825;67911.89759;38.54903894;52.18259312;4602.48;258;460;1017;240;0;9;9000;1;0;0;0;6;100;M;25R
823;61179;67879.6056;10.83573134;28.98850966;4320.54;301;394;1016;220;0;11;10000;1;0;0;0;6;100;M;25R
695;78539;67992.78432;66.02956141;99.39034419;3634.74;269;332;1017;280;0;4;9000;1;0;0;0;6;100;M;2
879;60635;67009.27068;10.4731534;236.0014934;4747.26;243;280;1016;220;0;11;10000;1;0;0;0;6;122.2222222;M;25R
1004;71336;64679.97949;9.936584834;337.311792;3749.04;252;286;1017;230;0;8;10000;1;0;0;0;6;100;M;25R
965;61535;67902.59822;10.91287923;353.965909;4480.56;288;362;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
883;80639;67844.37249;42.66090482;27.61161382;3840.48;243;442;1017;250;0;5;9000;1;0;0;0;6;100;M;2
955;60890;67974.53969;38.55204518;51.86647852;5013.96;247;462;1016;220;0;11;10000;1;0;0;0;6;122.2222222;M;25R
1089;73396;64976.62601;9.87329341;336.5002129;3970.02;225;266;1017;230;0;9;10000;1;0;0;0;6;100;M;25R
660;61171;67796.14616;272.5776643;274.0514545;2727.96;253;440;1016;220;0;11;10000;1;0;0;0;6;100;M;25R
699;61286;67871.12551;225.4634846;212.0802082;2567.94;265;430;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
639;61381;67831.5806;220.73565;177.9036858;2842.26;272;410;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
1017;81393;67900.09805;292.881361;274.3023035;3779.52;252;442;1016;260;40;5;8000;1;0;0;0;6;100;M;2
722;61516;67865.35863;259.720656;211.0814466;3048;253;440;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
858;76498;67408.35684;130.6655701;109.3747681;4610.1;260;302;1017;250;0;8;9000;1;0;0;0;6;100;M;25R
720;61643;67926.88728;259.737369;233.111415;3291.84;277;442;1016;220;0;10;10000;1;0;0;0;6;100;M;25R
962;74705;67614.62465;38.34783984;31.80363588;5013.96;260;440;1017;240;0;9;9000;1;0;0;0;6;100;M;25R
